;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
197;8.0;31.0;7;18;3
198;8.0;31.0;7;19;3
199;8.0;30.0;7;20;3
200;8.0;31.0;7;21;3
201;8.0;31.0;7;22;3
202;8.0;31.0;7;23;3
203;8.0;31.0;7;24;3
204;8.0;31.0;7;25;3
205;8.0;31.0;7;26;3
206;8.0;31.0;7;28;3
207;8.0;31.0;7;27;3
208;8.0;31.0;7;30;3
209;9.0;31.0;7;29;3
210;9.0;30.0;8;1;4
211;9.0;30.0;8;2;4
212;10.0;30.0;8;4;4
213;9.0;30.0;8;3;4
214;10.0;30.0;8;6;4
215;10.0;30.0;8;5;4
216;9.0;30.0;8;7;4
217;10.0;30.0;8;8;4
218;10.0;30.0;8;9;4
219;10.0;30.0;8;10;4
220;9.0;30.0;8;11;4
221;9.0;30.0;8;12;4
222;9.0;30.0;8;13;4
223;9.0;30.0;8;14;4
224;10.0;30.0;8;16;4
225;9.0;30.0;8;15;4
226;9.0;30.0;8;17;4
227;9.0;30.0;8;18;4
228;10.0;30.0;8;19;4
229;10.0;30.0;8;20;4
230;10.0;30.0;8;21;4
231;9.0;30.0;8;22;4
232;10.0;30.0;8;23;4
233;9.0;30.0;8;24;4
234;10.0;30.0;8;25;4
235;9.0;30.0;8;26;4
236;10.0;30.0;8;28;4
237;10.0;30.0;8;27;4
238;10.0;30.0;8;29;4
239;9.0;30.0;8;30;4
240;11.0;30.0;9;2;5
241;11.0;30.0;9;1;5
242;11.0;30.0;9;3;5
243;11.0;30.0;9;4;5
244;11.0;30.0;9;5;5
245;10.0;30.0;9;6;5
246;11.0;30.0;9;7;5
247;12.0;30.0;9;8;5
248;11.0;30.0;9;9;5
249;11.0;30.0;9;10;5
250;11.0;30.0;9;11;5
251;11.0;30.0;9;12;5
252;11.0;30.0;9;13;5
253;12.0;30.0;9;14;5
254;11.0;30.0;9;16;5
255;11.0;30.0;9;15;5
256;11.0;30.0;9;18;5
257;11.0;30.0;9;17;5
258;11.0;30.0;9;19;5
259;11.0;30.0;9;20;5
260;11.0;30.0;9;21;5
261;11.0;30.0;9;22;5
262;11.0;30.0;9;23;5
263;11.0;30.0;9;24;5
264;11.0;30.0;9;26;5
265;11.0;30.0;9;25;5
266;11.0;30.0;9;27;5
267;11.0;30.0;9;28;5
268;12.0;30.0;9;29;5
269;12.0;30.0;9;30;5
270;13.0;29.0;10;2;5
271;13.0;29.0;10;1;5
272;12.0;29.0;10;3;5
273;11.0;30.0;10;4;5
274;13.0;29.0;10;5;5
275;13.0;30.0;10;6;5
276;13.0;29.0;10;7;5
277;12.0;29.0;10;8;5
278;12.0;29.0;10;9;5
279;12.0;29.0;10;10;5
280;13.0;29.0;10;11;5
281;12.0;29.0;10;12;5
282;12.0;29.0;10;13;5
283;13.0;29.0;10;14;5
284;12.0;29.0;10;15;5
285;12.0;29.0;10;16;5
286;12.0;29.0;10;17;5
287;12.0;29.0;10;18;5
288;13.0;29.0;10;19;5
289;12.0;29.0;10;20;5
290;12.0;29.0;10;21;5
291;12.0;29.0;10;22;5
292;12.0;29.0;10;23;5
293;12.0;29.0;10;24;5
294;12.0;29.0;10;25;5
295;12.0;30.0;10;26;5
296;12.0;29.0;10;27;5
297;12.0;29.0;10;28;5
298;12.0;29.0;10;29;5
299;12.0;29.0;10;30;5
300;14.0;30.0;11;1;5
301;13.0;30.0;11;2;5
302;14.0;29.0;11;3;5
303;14.0;30.0;11;4;5
304;14.0;29.0;11;5;5
305;14.0;30.0;11;6;5
306;14.0;30.0;11;7;5
307;14.0;30.0;11;8;5
308;14.0;29.0;11;9;5
309;13.0;29.0;11;10;5
310;14.0;30.0;11;11;5
311;14.0;30.0;11;12;5
312;13.0;30.0;11;13;5
313;14.0;30.0;11;14;5
314;14.0;30.0;11;15;5
315;14.0;29.0;11;16;5
316;14.0;30.0;11;17;5
